id	name	baseline	final	scene	person
0	ApplyEyeMakeup	0.6181	0.7698	0.7608	0.7959
1	ApplyLipstick	0.8009	0.7807	0.7807	0.7706
2	BabyCrawling	0.6994	0.6974	0.6803	0.7145
3	BlowDryHair	0.6698	0.7188	0.7286	0.6915
4	BodyWeightSquats	0.3826 0.4868	0.4882	0.4861
5	BrushingTeeth	0.6759	0.6362	0.6264	0.6078
6	CricketBowling	0.4086	0.5048	0.5028	0.4123
7	Haircut	0.7597	0.7973	0.7973	0.8074
8	HandstandPushups	0.6581 0.5792	0.5002	0.6278
9	HandstandWalking	0.2163 0.2693	0.1955	0.3597
10	HeadMassage	0.8116	0.7868	0.7945	0.7703
11	JumpingJack	0.4849	0.3803	0.2890	0.5132
12	JumpRope	0.4023 0.3737	0.3492	0.3499
13	Lunges	0.4857	0.5595	0.5158	0.5851
14	PullUps	0.5238	0.5357	0.4405	0.5476
15	PushUps	0.5341	0.5206	0.4627	0.5762
16	RopeClimbing	0.4685 0.6047	0.5357	0.6044
17	ShavingBeard	0.7242 0.6576	0.6507	0.6507
18	TaiChi	0.4762	0.5714	0.4286	0.6071
19	TrampolineJumping	0.8013	0.8430	0.8430	0.8130
20	WallPushups	0.7114	0.7116	0.6931	0.7312
