name    P O S
Archery 0.4878  0.5122  0.4146
BenchPress 0.9792  0.9375  0.8542
Biking 1.0000  0.8947  0.9211
BlowingCandles 0.9697  0.9394  0.9697
Hammering 0.4242  0.5152  0.4545
HulaHoop 0.7941  0.7647  0.7059
JugglingBalls 0.7000  0.7000  0.7250
Knitting 1.0000  1.0000  1.0000
Mixing 0.7111  0.8000  0.7556
Nunchucks 0.1714  0.1429  0.2286
PizzaTossing 0.5152  0.5758  0.5152
PlayingCello 0.7500  0.7727  0.7500
PlayingDaf 1.0000  1.0000  0.9024
PlayingDhol 1.0000  1.0000  0.8571
PlayingFlute 1.0000  1.0000  1.0000
PlayingGuitar 1.0000  0.9767  0.9767
PlayingPiano 0.8214  0.8571  0.7857
PlayingSitar 0.9773  0.9318  0.9545
PlayingTabla 1.0000  0.8710  1.0000
PlayingViolin 0.9643  0.8929  0.9286
SkateBoarding 0.8438  0.8750  0.8750
SoccerJuggling 0.6410  0.6410  0.6410
Typing 0.9070  0.9070  0.9070
WalkingWithDog 0.8611  0.8333  0.8333
YoYo 0.7778  0.7222  0.6944
